wine.arff
confidenceFactor;minNumObj;numFolds;TP;FP;Precision;Recall;F-measure
0,25;6;25;0,96;0,02;0,96;0,96;0,96
0,25;6;50;0,96;0,02;0,96;0,96;0,96
0,25;10;3;0,96;0,02;0,96;0,96;0,96
0,25;10;4;0,96;0,02;0,96;0,96;0,96
0,25;10;5;0,96;0,02;0,96;0,96;0,96
0,25;10;8;0,96;0,02;0,96;0,96;0,96
0,25;10;10;0,96;0,02;0,96;0,96;0,96
0,25;10;20;0,96;0,02;0,96;0,96;0,96
0,25;10;25;0,96;0,02;0,96;0,96;0,96
0,25;10;50;0,96;0,02;0,96;0,96;0,96
0,25;20;3;0,96;0,02;0,96;0,96;0,96
0,25;20;4;0,96;0,02;0,96;0,96;0,96
0,25;20;5;0,96;0,02;0,96;0,96;0,96
0,25;20;8;0,96;0,02;0,96;0,96;0,96
0,25;20;10;0,96;0,02;0,96;0,96;0,96
0,25;20;20;0,96;0,02;0,96;0,96;0,96
0,25;20;25;0,96;0,02;0,96;0,96;0,96
0,25;20;50;0,96;0,02;0,96;0,96;0,96
0,35;2;3;0,96;0,02;0,96;0,96;0,96
0,35;2;4;0,96;0,02;0,96;0,96;0,96
0,35;2;5;0,96;0,02;0,96;0,96;0,96
0,35;2;8;0,96;0,02;0,96;0,96;0,96
0,35;2;10;0,96;0,02;0,96;0,96;0,96
0,35;2;20;0,96;0,02;0,96;0,96;0,96
0,35;2;25;0,96;0,02;0,96;0,96;0,96
