wine
fold;numberOfClassfiers;samplingFactor;k;classificationAlgorithm;weightedTPRate;weightedFPRate;weightedAccuracy;weightedPrecision;weightedRecall;F
10;3;0.9;const;KnnBagging;0.747191;0.13587275;0.8297248;0.7512899;0.747191;0.74806625
2;3;0.9;const;KnnAdaBoost;0.6966292;0.150772;0.7977843;0.70078665;0.6966292;0.6978185
3;3;0.9;const;KnnAdaBoost;0.6797753;0.15135731;0.78926265;0.691208;0.6797753;0.6772189
5;3;0.9;const;KnnAdaBoost;0.66853935;0.16942799;0.7798258;0.65658337;0.66853935;0.66050696
10;3;0.9;const;KnnAdaBoost;0.7022472;0.15273261;0.80087745;0.69135886;0.7022472;0.6925907
2;3;0.9;growing;KnnBagging;0.71348315;0.13910887;0.80977786;0.7308755;0.71348315;0.7194087
3;3;0.9;growing;KnnBagging;0.7078652;0.15677562;0.8027396;0.7087983;0.7078652;0.7075238
5;3;0.9;growing;KnnBagging;0.73595506;0.13979004;0.8229705;0.7365316;0.73595506;0.73566043
10;3;0.9;growing;KnnBagging;0.78651685;0.102701336;0.85715187;0.79354405;0.78651685;0.7874607
2;3;0.9;growing;KnnAdaBoost;0.7022472;0.12887274;0.80526453;0.7467254;0.7022472;0.70331514
3;3;0.9;growing;KnnAdaBoost;0.6573034;0.18963183;0.7697261;0.6363976;0.6573034;0.6391581
5;3;0.9;growing;KnnAdaBoost;0.6853933;0.16935618;0.7911248;0.6637336;0.6853933;0.6627845
10;3;0.9;growing;KnnAdaBoost;0.6573034;0.18539934;0.7697892;0.63154525;0.6573034;0.63202924
2;3;0.9;falling;KnnBagging;0.6966292;0.14438944;0.797816;0.71953815;0.6966292;0.7023612
3;3;0.9;falling;KnnBagging;0.75842696;0.124878764;0.8379624;0.75842696;0.75842696;0.75842696
5;3;0.9;falling;KnnBagging;0.7247191;0.14441837;0.8154905;0.72056997;0.7247191;0.72222155
10;3;0.9;falling;KnnBagging;0.7303371;0.13903707;0.82072973;0.7287745;0.7303371;0.72942895
2;3;0.9;falling;KnnAdaBoost;0.55617976;0.21832418;0.7063502;0.5777778;0.55617976;0.5301634
3;3;0.9;falling;KnnAdaBoost;0.6179775;0.19945692;0.7440348;0.6035314;0.6179775;0.60515463
5;3;0.9;falling;KnnAdaBoost;0.60674155;0.20813711;0.7359866;0.613624;0.60674155;0.5727889
10;3;0.9;falling;KnnAdaBoost;0.5955056;0.220288;0.7276859;0.58023244;0.5955056;0.571789
2;3;1.0;const;KnnBagging;0.71348315;0.13557051;0.8090203;0.7281617;0.71348315;0.7153475
3;3;1.0;const;KnnBagging;0.7078652;0.15914018;0.80457014;0.70315576;0.7078652;0.7022214
5;3;1.0;const;KnnBagging;0.7303371;0.14351785;0.8192147;0.7304676;0.7303371;0.72955674
10;3;1.0;const;KnnBagging;0.747191;0.12714256;0.8323128;0.74746484;0.747191;0.7472298
2;3;1.0;const;KnnAdaBoost;0.6741573;0.17514142;0.7820351;0.6517898;0.6741573;0.65803677
3;3;1.0;const;KnnAdaBoost;0.66853935;0.17842339;0.7799204;0.6451829;0.66853935;0.6408477
5;3;1.0;const;KnnAdaBoost;0.64044946;0.17555025;0.7636347;0.63901246;0.64044946;0.6374466
10;3;1.0;const;KnnAdaBoost;0.6966292;0.15125166;0.79929936;0.69599843;0.6966292;0.6958939
2;3;1.0;growing;KnnBagging;0.7247191;0.13401777;0.8176682;0.73809564;0.7247191;0.7294971
3;3;1.0;growing;KnnBagging;0.7247191;0.14889917;0.81511176;0.7257023;0.7247191;0.7233285
5;3;1.0;growing;KnnBagging;0.71348315;0.15139432;0.8075685;0.712902;0.71348315;0.7128148
10;3;1.0;growing;KnnBagging;0.73595506;0.13625169;0.82334936;0.73443305;0.73595506;0.73515594
2;3;1.0;growing;KnnAdaBoost;0.64606744;0.1997003;0.7619303;0.61633223;0.64606744;0.61223227
3;3;1.0;growing;KnnAdaBoost;0.66853935;0.18265589;0.77736396;0.6589311;0.66853935;0.6567211
5;3;1.0;growing;KnnAdaBoost;0.64044946;0.19421826;0.75965786;0.61352545;0.64044946;0.6179905
10;3;1.0;growing;KnnAdaBoost;0.6179775;0.20560808;0.7433405;0.5995786;0.6179775;0.5937869
2;3;1.0;falling;KnnBagging;0.6966292;0.14344698;0.79961497;0.71588546;0.6966292;0.70212775
3;3;1.0;falling;KnnBagging;0.75842696;0.12724331;0.83871984;0.7562479;0.75842696;0.7568008
5;3;1.0;falling;KnnBagging;0.7247191;0.13945791;0.8176682;0.72234184;0.7247191;0.7234198
10;3;1.0;falling;KnnBagging;0.74157304;0.13748433;0.8256533;0.73916113;0.74157304;0.73991317
2;3;1.0;falling;KnnAdaBoost;0.69101125;0.17576376;0.7933657;0.68025887;0.69101125;0.67201877
3;3;1.0;falling;KnnAdaBoost;0.46629214;0.27274358;0.64338464;0.45301524;0.46629214;0.4535399
5;3;1.0;falling;KnnAdaBoost;0.6797753;0.17189328;0.7854753;0.65908164;0.6797753;0.6628416
10;3;1.0;falling;KnnAdaBoost;0.6235955;0.21366915;0.7426461;0.6176023;0.6235955;0.60699487
2;5;0.1;const;KnnBagging;0.6966292;0.16024707;0.79822624;0.6767648;0.6966292;0.67600715
3;5;0.1;const;KnnBagging;0.66292137;0.18709476;0.7747128;0.6481531;0.66292137;0.6446144
5;5;0.1;const;KnnBagging;0.6853933;0.17758979;0.7902096;0.66923225;0.6853933;0.66711915
10;5;0.1;const;KnnBagging;0.7303371;0.15132253;0.8195619;0.7177378;0.7303371;0.7131569
2;5;0.1;const;KnnAdaBoost;0.56179774;0.2236878;0.70363593;0.65594506;0.56179774;0.56117964
3;5;0.1;const;KnnAdaBoost;0.6797753;0.1872205;0.78326607;0.69031304;0.6797753;0.6691009
5;5;0.1;const;KnnAdaBoost;0.6741573;0.17135477;0.7832029;0.6716244;0.6741573;0.6718284
10;5;0.1;const;KnnAdaBoost;0.6123595;0.20009221;0.7393637;0.5983171;0.6123595;0.603447
